日期,開盤價,最高價,最低價,收盤價,成交量
2010/01/04,25.2,25.8,25.2,25.3,12000
2025/05/02,152.0,153.5,151.5,152.0,78500
2025/05/05,152.5,153.0,149.0,150.0,62146
2025/05/06,151.0,151.5,148.5,149.5,30358
2025/05/07,150.5,150.5,145.5,145.5,18171
2025/05/08,146.5,150.0,146.5,149.5,12002
2025/05/09,151.0,151.0,147.0,150.0,34839
2025/05/12,150.5,151.0,149.0,150.5,34478
2025/05/13,152.0,152.5,151.0,151.5,28058
2025/05/14,152.0,152.5,151.0,152.5,29139
2025/05/15,152.5,153.0,152.0,153.0,34139
2025/05/16,153.0,154.0,152.0,153.0,61047
2025/05/19,153.5,153.5,152.0,153.0,22339
2025/05/20,153.00,153.50,152.50,153.00,14114
